"hcpcs_code","hcpcs_description","ccs_code","ccs_desc"
"00100","Anesthesia for procedure on salivary gland with biopsy",232,"Anesthesia"
"00102","Anesthesia for procedure to repair lip defect present at birth",232,"Anesthesia"
"00103","Anesthesia for procedure on eyelid",232,"Anesthesia"
"00104","Anesthesia for electric shock treatment",232,"Anesthesia"
"00120","Anesthesia for biopsy of external middle and inner ear",232,"Anesthesia"
"00126","Anesthesia for incision of ear drum",232,"Anesthesia"
"00140","Anesthesia for procedure on eye",232,"Anesthesia"
"00142","Anesthesia for lens surgery",232,"Anesthesia"
"00144","Anesthesia for procedure on eye for corneal transplant",232,"Anesthesia"
"00145","Anesthesia for retinal surgery",232,"Anesthesia"
"00147","Anesthesia for procedure on eye for removal of iris",232,"Anesthesia"
"00148","Anesthesia for eye examination using an endoscope",232,"Anesthesia"
"00160","Anesthesia for procedure on nose and sinus",232,"Anesthesia"
"00170","Anesthesia for procedure on mouth including biopsy",232,"Anesthesia"
"00190","Anesthesia for procedure on facial bones or skull",232,"Anesthesia"
"0019T","Low energy shock wave therapy of musculoskeletal system",230,"Extracorporeal shock wave, other than urinary"
"00210","Anesthesia for procedure on brain",232,"Anesthesia"
"00211","Anesthesia for procedure to remove blood collection in brain",232,"Anesthesia"
"00214","Anesthesia for procedure to create holes in skull including X-ray imaging",232,"Anesthesia"
"00216","Anesthesia for procedure on blood vessel in brain",232,"Anesthesia"
"00218","Anesthesia for procedure on brain patient in sitting position",232,"Anesthesia"
"00220","Anesthesia for procedure to drain brain and spinal cord fluid",232,"Anesthesia"
"00222","Anesthesia for procedure on nerve in brain",232,"Anesthesia"
"00300","Anesthesia for procedure on esophagus and neck",232,"Anesthesia"
"0030T","Anti-clotting antibody analysis",235,"Other Laboratory"
"00320","Anesthesia for procedure on esophagus and neck, age 1 year or older",232,"Anesthesia"
"00350","Anesthesia for procedure of major blood vessels of neck",232,"Anesthesia"
"00352","Anesthesia for tying procedure on major blood vessels of neck",232,"Anesthesia"
"00400","Anesthesia for procedure on skin of arms legs or trunk",232,"Anesthesia"
"00402","Anesthesia for breast reconstruction",232,"Anesthesia"
"00404","Anesthesia for removal of breast",232,"Anesthesia"
"00406","Anesthesia for removal of breast and lymph nodes",232,"Anesthesia"
"00410","Anesthesia for procedure to correct abnormal heart rhythm",232,"Anesthesia"
"0042T","Computed tomography (CT) brain blood flow, volume, and timing of flow analysis",180,"Other CT scan"
"00450","Anesthesia for procedure on collar bone and shoulder blade",232,"Anesthesia"
"0048T","Implantation of blood flow assist device in left lower heart",50,"Extracorporeal circulation auxiliary to open heart procedures"
"00500","Anesthesia for procedure on esophagus",232,"Anesthesia"
"00520","Anesthesia for procedure in chest",232,"Anesthesia"
"00522","Anesthesia for needle biopsy of lung",232,"Anesthesia"
"00528","Anesthsia for diagnostic examination of chest using an endoscope",232,"Anesthesia"
"00529","Anesthesia for diagnostic examination of chest using an endoscope with 1 lung ventilation",232,"Anesthesia"
"00530","Anesthesia for insertion of permanent heart pacemaker",232,"Anesthesia"
"00532","Anesthesia for central vein access",232,"Anesthesia"
"00534","Anesthesia for insertion or replace of pacing heart defibrillator",232,"Anesthesia"
"00537","Anesthesia for procedure on heart to correct abnormal rhythm",232,"Anesthesia"
"00540","Anesthesia for procedure in chest",232,"Anesthesia"
"00541","Anesthesia for procedure in chest with 1 lung ventilation",232,"Anesthesia"
"00542","Anesthesia for removal of lung lining",232,"Anesthesia"
"0054T","Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation",226,"Other diagnostic radiology and related techniques"
"0055T","Musculoskeletal surgical navigational orthopedic operation using imaging guidance",226,"Other diagnostic radiology and related techniques"
"00560","Anesthesia for procedure on heart and great blood vessels",232,"Anesthesia"
"00562","Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure",232,"Anesthesia"
"00563","Anesthesia for procedure on heart and great blood vessels on heart-lung machine",232,"Anesthesia"
